City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
357,Pandan,PH,79.95,scattered clouds,14.0453,124.1694,Bonifacio Lodge
359,Acarau,BR,79.21,broken clouds,-2.8856,-40.12,castelo pizzaria
361,Oussouye,SN,71.78,clear sky,12.485,-16.5469,Auberge du Routard
363,Chiredzi,ZW,73.74,scattered clouds,-21.05,31.6667,Clevers Hotel Chiredzi
365,Lorengau,PG,84.36,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
366,Tabou,CI,79.77,light rain,4.423,-7.3528,hotêl doufoulougou
370,Caramay,PH,78.98,scattered clouds,10.1815,119.236,Peace and Love Beach Club
371,Vao,NC,75.51,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
372,Buraydah,SA,79.25,scattered clouds,26.326,43.975,Mövenpick Qassim
373,Rio Branco,BR,77.61,broken clouds,-9.9747,-67.81,Hotel Guapindaia Bosque
375,Guanica,PR,80.44,clear sky,17.9716,-66.908,Copamarina Beach Resort & Spa
